id,source_org,source_file,original_id,type,name,address,city,state,zip_code,county,location_description,phone,url,latitude,longitude,latlng_source,date_from,date_to,SNAP,WIC,FMNP,fresh_produce,food_bucks,free_distribution,open_to_spec_group,data_issues
NA,USDA,PA.xlsx,NA,NA,WALGREENS 09803,324 Hulton Rd,Oakmont,PA,15139,ALLEGHENY,NA,NA,NA,40.525734,-79.841568,agency,NA,NA,1,0,0,0,0,0,NA,no type;no phone;no date/time info
NA,USDA,PA.xlsx,NA,NA,South Park Sunoco,5660 Brownsville Rd,Pittsburgh,PA,15236,ALLEGHENY,NA,NA,NA,40.330959,-79.987129,agency,NA,NA,1,0,0,0,0,0,NA,no type;no phone;no date/time info
NA,USDA,PA.xlsx,NA,NA,Dollar General 10875,5032 William Penn Hwy,Monroeville,PA,15146,ALLEGHENY,NA,NA,NA,40.428741,-79.707176,agency,NA,NA,1,0,0,0,0,0,NA,no type;no phone;no date/time info
NA,USDA,PA.xlsx,NA,NA,North Versailles Save A Lot,355 Lincoln Hwy,N Versailles,PA,15137,ALLEGHENY,NA,NA,NA,40.381916,-79.818733,agency,NA,NA,1,0,0,0,0,0,NA,no type;no phone;no date/time info
NA,USDA,PA.xlsx,NA,NA,CoGo's 1808,1001 Brookline Blvd,Pittsburgh,PA,15226,ALLEGHENY,NA,NA,NA,40.392017,-80.01741,agency,NA,NA,1,0,0,0,0,0,NA,no type;no phone;no date/time info
NA,USDA,PA.xlsx,NA,NA,Sunoco - A Plus 7501 7501,30 Center St,East Pittsburgh,PA,15112,ALLEGHENY,NA,NA,NA,40.396324,-79.846573,agency,NA,NA,1,0,0,0,0,0,NA,no type;no phone;no date/time info
NA,USDA,PA.xlsx,NA,NA,Giant Eagle 5103,2611 Freeport Rd,Pittsburgh,PA,15238,ALLEGHENY,NA,NA,NA,40.537529,-79.836693,agency,NA,NA,1,0,0,0,0,0,NA,no type;no phone;no date/time info
NA,USDA,PA.xlsx,NA,NA,Rite Aid 4419,1529 Freeport Rd,Natrona Heights,PA,15065,ALLEGHENY,NA,NA,NA,40.62067,-79.729126,agency,NA,NA,1,0,0,0,0,0,NA,no type;no phone;no date/time info
NA,USDA,PA.xlsx,NA,NA,A & E Deli,105 Brownsville Rd,Pittsburgh,PA,15210,ALLEGHENY,NA,NA,NA,40.417347,-79.986526,agency,NA,NA,1,0,0,0,0,0,NA,no type;no phone;no date/time info
NA,USDA,PA.xlsx,NA,NA,Strip District Meats,2121 Penn Ave,Pittsburgh,PA,15222,ALLEGHENY,NA,NA,NA,40.452065,-79.98262,agency,NA,NA,1,0,0,0,0,0,NA,no type;no phone;no date/time info
NA,USDA,PA.xlsx,NA,NA,Ednas Market & Deli,529 Mount Pleasant Rd,Pittsburgh,PA,15214,ALLEGHENY,NA,NA,NA,40.47776,-80.000168,agency,NA,NA,1,0,0,0,0,0,NA,no type;no phone;no date/time info
NA,USDA,PA.xlsx,NA,NA,Target Stores 2262,550 Grandview Crossing Dr,Gibsonia,PA,15044,ALLEGHENY,NA,NA,NA,40.641586,-79.939644,agency,NA,NA,1,0,0,0,0,0,NA,no type;no phone;no date/time info
NA,USDA,PA.xlsx,NA,NA,Stanton Negley Drug Company,804 N Negley Ave,Pittsburgh,PA,15206,ALLEGHENY,NA,NA,NA,40.471687,-79.926163,agency,NA,NA,1,0,0,0,0,0,NA,no type;no phone;no date/time info
NA,USDA,PA.xlsx,NA,NA,Broadway Dairy Mart,412 Broadway Ave,McKees Rocks,PA,15136,ALLEGHENY,NA,NA,NA,40.469074,-80.068832,agency,NA,NA,1,0,0,0,0,0,NA,no type;no phone;no date/time info
NA,USDA,PA.xlsx,NA,NA,GetGo 3172,1081 Freeport Rd,Pittsburgh,PA,15238,ALLEGHENY,NA,NA,NA,40.487457,-79.883537,agency,NA,NA,1,0,0,0,0,0,NA,no type;no phone;no date/time info
NA,USDA,PA.xlsx,NA,NA,GetGo 3691,4099 Grandview Dr,Gibsonia,PA,15044,ALLEGHENY,NA,NA,NA,40.642238999999996,-79.937866,agency,NA,NA,1,0,0,0,0,0,NA,no type;no phone;no date/time info
