id,facility_name,num,street,city,state,zip,municipal,category_cd,description,p_code,fdo,bus_st_date,seat_count,noroom,sq_feet,status,placard_st,x,y,address
2226,Faber Coe & Gregg,530,Wm Penn Place,Pittsburgh,PA,15230,Pittsburgh-102,116,Chain Packaged Food Only,2,6/17/84,6/17/84,0,,150,1,1,-79.99658573,40.44059689,530 Wm Penn Place Pittsburgh PA 15230
2316,Co Go's #346,3439,West Run Rd,Homestead,PA,15120,Munhall,114,Chain Retail/Convenience Store,1,1/1/80,1/1/80,0,,2400,1,1,,,3439 West Run Rd Homestead PA 15120
2365,Shop 'n Save / Baldwin,93,Joseph  Street,Pittsburgh,PA,15227,Baldwin Boro,112,Chain Supermarket,0,1/1/72,1/1/72,0,,16000,7,1,-79.96468928,40.38948439,93 Joseph  Street Pittsburgh PA 15227
2370,Giant Eagle #64,3812,O'Neil Blvd,Mc Keesport,PA,15132,McKeesport,112,Chain Supermarket,1,6/17/84,6/17/84,0,,27100,1,1,,,3812 O'Neil Blvd Mc Keesport PA 15132
2412,Perriello Produce,208,7th Avenue,Tarentum,PA,15084,Tarentum,113,Retail/Convenience Store,1,8/20/92,8/20/92,0,,500,1,1,,,208 7th Avenue Tarentum PA 15084
2424,Rite Aid Pharmacies #10907,2100,Washington Pike,Carnegie,PA,15106,Scott,116,Chain Packaged Food Only,2,6/17/84,6/17/84,0,,500,1,1,-80.09256461,40.38789126,2100 Washington Pike Carnegie PA 15106
2425,Rite Aid Pharmacies #10908,5990,University Blvd / Ste 30,Coraopolis,PA,15108,Moon,116,Chain Packaged Food Only,2,6/17/84,6/17/84,0,,400,1,1,-80.22056264,40.52177432,5990 University Blvd / Ste 30 Coraopolis PA 15108
2506,Verona News,754,Allegheny River Boulevard,Verona,PA,15147,Verona,115,Packaged Food Only,2,1/1/70,1/1/70,0,,300,1,1,-79.84309119,40.50630558,754 Allegheny River Boulevard Verona PA 15147
2811,Giant Eagle #37,5,Quaker Village Shopping Center,Leetsdale,PA,15056,Leetsdale,112,Chain Supermarket,1,6/17/84,6/17/84,0,,45252,1,1,,,5 Quaker Village Shopping Center Leetsdale PA 15056
2848,Giant Eagle #78,230,Rodi Road,Pittsburgh,PA,15235,Penn Hills,112,Chain Supermarket,1,4/3/89,4/3/89,0,,49200,1,1,-79.82521227,40.46174458,230 Rodi Road Pittsburgh PA 15235
2858,CVS / Pharmacy #4045,4692,Old Wm Penn Highway,Monroeville,PA,15146,Monroeville,116,Chain Packaged Food Only,2,3/27/78,3/27/78,0,,500,7,1,-79.74108826,40.43900358,4692 Old Wm Penn Highway Monroeville PA 15146
2901,Giant Eagle #76,4680,Old Wm Penn Hwy,Monroeville,PA,15146,Monroeville,112,Chain Supermarket,1,1/2/79,1/2/79,0,,32040,7,1,-79.74333903,40.43933709,4680 Old Wm Penn Hwy Monroeville PA 15146
2950,Esthers Sweet Shop,1814,Brownsville Rd,Pittsburgh,PA,15210,Pittsburgh-129,172,Food Processor,1,6/17/84,6/17/84,0,,1700,1,1,-79.98796161,40.39673501,1814 Brownsville Rd Pittsburgh PA 15210
2957,Clark Candies,621 (Rear),1st Avenue,Tarentum,PA,15084,Tarentum,172,Food Processor,1,1/1/85,1/1/85,0,,3600,1,1,,,621 (Rear) 1st Avenue Tarentum PA 15084
3002,South Fayette Middle School Cafeteria,3680,Old Oakdale Road,Mc Donald,PA,15057,McDonald,651,School Full Service Kitchen,9,6/17/84,6/17/84,0,,2426,1,1,-80.16909667,40.37680323,3680 Old Oakdale Road Mc Donald PA 15057
3006,Springdale Jr/Sr High School Cafeteria,501,Butler Street,Springdale,PA,15144,Springdale Borough,651,School Full Service Kitchen,9,1/1/58,1/1/58,0,,2500,1,1,-79.78171308,40.54743661,501 Butler Street Springdale PA 15144
3007,Pgh Brashear HS Cafeteria,590,Crane  Avenue,Pittsburgh,PA,15216,Pittsburgh-119,651,School Full Service Kitchen,9,6/17/84,6/17/84,0,,2500,1,1,-80.01822356,40.41808237,590 Crane  Avenue Pittsburgh PA 15216
3008,Burchfield Elementary,1500,Burchfield  Road,Allison Park,PA,15101,Shaler,651,School Full Service Kitchen,9,6/17/84,6/17/84,0,,2500,1,1,-79.94313453,40.54760174,1500 Burchfield  Road Allison Park PA 15101
3010,Center Elementary School,200,Center New Texas Rd,Pittsburgh,PA,15239,Plum,651,School Full Service Kitchen,9,1/1/60,1/1/60,0,,777,1,1,-79.75676647,40.4808531,200 Center New Texas Rd Pittsburgh PA 15239
3013,St John The Baptist School Cafeteria,418,Unity Center  Road,Pittsburgh,PA,15239,Plum,651,School Full Service Kitchen,9,1/1/60,1/1/60,0,,820,1,1,-79.77660096,40.48759403,418 Unity Center  Road Pittsburgh PA 15239
3014,Regency Park Elementary,606,Millers Ln,Pittsburgh,PA,15239,Plum,651,School Full Service Kitchen,9,1/1/60,1/1/60,0,,595,7,1,-79.77537886,40.48397933,606 Millers Ln Pittsburgh PA 15239
