id,source_org,source_file,original_id,type,name,address,city,state,zip_code,county,location_description,phone,url,latitude,longitude,latlng_source,date_from,date_to,SNAP,WIC,FMNP,fresh_produce,food_bucks,free_distribution,open_to_spec_group,data_issues
,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PTRI2284-1,food bank site,Trinity Cathedral,325 Oliver Avenue,Pittsburgh,PA,15222,Allegheny,,,,40.4411888,-79.9988332,Greater Pittsburgh Community Food Bank,,,0,0,0,1,0,1,,
,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PUNI1173-1,food bank site,Union Baptist Church,2117 Collingwood Street,Swissvale,PA,15218,Allegheny,,,,40.4172588,-79.8885256,Greater Pittsburgh Community Food Bank,,,0,0,0,1,0,1,,
,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PUNI2540-1,food bank site,Union Food Pantry,1910 Municipal Drive,New Castle,PA,16101,Lawrence,,,,41.001662,-80.378789,Greater Pittsburgh Community Food Bank,,,0,0,0,1,0,1,,
,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PUNI2026-1,food bank site,Unity Baptist Church,420 5th Street,Braddock,PA,15104,Allegheny,,,,40.4045948,-79.8693868,Greater Pittsburgh Community Food Bank,,,0,0,0,1,0,1,,
,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PWAL1481-1,food bank site,Unity Food Pantry,1146 Greentree Road,Pittsburgh,PA,15220,Allegheny,,,,40.4089275,-80.0504798,Greater Pittsburgh Community Food Bank,,,0,0,0,1,0,1,,
,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PUPP2257-1,food bank site,Upper Rooms,2334 Perrysville Ave.,Pittsburgh,PA,15214,Allegheny,,,,40.4668449,-80.0093728,Greater Pittsburgh Community Food Bank,,,0,0,0,0,0,1,,
,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PURB2533-1,food bank site,Urban Pathways Charter School 6-12,914 Penn Avenue,Pittsburgh,PA,15222,Allegheny,,,,40.4437065,-79.9975042,Greater Pittsburgh Community Food Bank,,,0,0,0,0,0,1,,
,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PVER2006-1,food bank site,Verona United Methodist Church,798 Herron Avenue,Verona,PA,15147,Allegheny,,,,40.5062818,-79.8406343,Greater Pittsburgh Community Food Bank,,,0,0,0,1,0,1,,
,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PVER2006-2,food bank site,Verona United Methodist Church - Fresh Market,798 Herron Avenue,Verona,PA,15147,Allegheny,,,,40.5062818,-79.8406343,Greater Pittsburgh Community Food Bank,,,0,0,0,1,0,1,,
,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PVER2379-1,food bank site,Versailles Apartments,"4626 Walnut St., C/O Management Office",McKeesport,PA,15132,Allegheny,,,,40.3183055,-79.8344143,Greater Pittsburgh Community Food Bank,,,0,0,0,0,0,1,,
,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PVER2349-1,food bank site,Versailles-Archer Apartments,"3221 Versailles Ave., Attn: Office",McKeesport,PA,15132,Allegheny,,,,40.3452603,-79.8390406,Greater Pittsburgh Community Food Bank,,,0,0,0,0,0,1,,
